Titulo;Autores;Ano;Instituicao;Imagem;Dataset;Ranking/Neural;ROI;Metricas;n Imagens
3D Convolutional Neural Network and Stacked Bidirectional Recurrent Neural Network for Alzheimer's Disease Diagnosis;n121;2018;Shenzhen University;MRI, PET;ADNI;Neural;Other Anatomical;A,S,R;397[100-128-76-93]
A Novel Deep Learning Framework on Brain Functional Networks for Early MCI Diagnosis;n136;2018;University of North Carolina at Chapel Hill;MRI;ADNI;Neural;Other Anatomical;A,S,R;351[172-179-0]
Deep Convolutional Neural Networks for Automated Diagnosis of AlzheimerÍs Disease and Mild Cognitive Impairment Using 3D Brain MRI;n148;2018;Georgia State University;MRI;ADNI, OASIS ;Neural;Other Anatomical;;1726[537-806-347]
Early Detection of AlzheimerÍs Disease Using Deep Learning;n245;2018;Guangdong University of Technology;MRI;ADNI;Neural;whole brain;;509[162-134-76-137]
Non-white matter tissue extraction and deep convolutional neural network for Alzheimer's disease detection;n333;2018;Chonnam National University;MRI, PET;ADNI;Neural;Other Anatomical;A;615[207-215-193]
Classification of Alzheimer's Disease Based on Eight-Layer Convolutional Neural Network with Leaky Rectified Linear Unit and Max Pooling;n374;2018;;;;;;;
Multi-Modality Cascaded Convolutional Neural Networks for Alzheimer's Disease Diagnosis;n450;2018;;;;;;;
Multiscale deep neural network based analysis of FDG-PET images for the early diagnosis of Alzheimer's disease;n634;2018;xxx;;;;;;
Alzheimer's disease Classification from Brain MRI based on transfer learning from CNN;n863;2018;;;;;;;
Classification of Alzheimer Disease on Imaging Modalities with Deep CNNs Using Cross-Modal Transfer Learning;n869;2018;;;;;;;
VGG19-Based Classification of Amyloid PET Image in Patients with MCI and AD;n881;2018;;;;;;;
Detection of Early Stage AlzheimeräÛªs Disease using EEG Relative Power with Deep Neural Network;n890;2018;;;;;;;
A Novel Multimodal MRI Analysis for Alzheimer's Disease Based on Convolutional Neural Network;n891;2018;;;;;;;
A Multi-modal Convolutional Neural Network Framework for the Prediction of AlzheimeräÛªs Disease;n893;2018;;;;;;;
Auto-Detection of Alzheimer's Disease Using Deep Convolutional Neural Networks;n897;2018;;;;;;;
An efficient 3D deep convolutional network for Alzheimer's disease diagnosis using MR images;n958;2018;;;;;;;
3D-CNN HadNet classification of MRI for Alzheimer's Disease diagnosis;n1014;2018;;;;;;;
Brain MRI analysis for Alzheimer's disease diagnosis using an ensemble system of deep convolutional neural networks;n1356;2018;;;;;;;
Alzheimer's disease diagnostics by a 3D deeply supervised adaptable convolutional network;n1415;2018;;;;;;;
Classification of Alzheimer's Disease by Combination of Convolutional and Recurrent Neural Networks Using FDG-PET Images;n1468;2018;;;;;;;
Convolutional Neural Networks-Based MRI Image Analysis for the Alzheimer's Disease Prediction From Mild Cognitive Impairment;n1472;2018;;;;;;;
Automated Multiclass Classification of Spontaneous EEG Activity in Alzheimer's Disease and Mild Cognitive Impairment;n1517;2018;;;;;;;
Diagnosis of Alzheimer's disease with Sobolev gradient-based optimization and 3D convolutional neural network;n89;2019;;;;;;;
A Cascaded Multi-modality Analysis in Mild Cognitive Impairment;n178;2019;;;;;;;
A Deep Learning Approach for Automated Diagnosis and Multi-Class Classification of Alzheimer's Disease Stages Using Resting-State fMRI and Residual Neural Networks;n380;2019;;;;;;;
Convolutional neural network based Alzheimer's disease classification from magnetic resonance brain images;n563;2019;;;;;;;
A deep learning model for early prediction of Alzheimer's disease dementia based on hippocampal magnetic resonance imaging data;n614;2019;;;;;;;
Ensemble of 3D densely connected convolutional network for diagnosis of mild cognitive impairment and Alzheimer's disease;n654;2019;;;;;;;
Early Alzheimer's disease diagnosis based on EEG spectral images using deep learning;n662;2019;;;;;;;
Automated classification of Alzheimer's disease and mild cognitive impairment using a single MRI and deep neural networks;n704;2019;;;;;;;
Classification and Visualization of Alzheimer's Disease using Volumetric Convolutional Neural Network and Transfer Learning;n753;2019;;;;;;;
Deep Learning Framework for AlzheimeräÛªs Disease Diagnosis via 3D-CNN and FSBi-LSTM;n814;2019;;;;;;;
3D Convolutional Networks Based Automatic Diagnosis of Alzheimer's Disease Using Structural MRI;n878;2019;;;;;;;
Early Diagnoses of Alzheimer using EEG data and Deep Neural Networks classification;n898;2019;;;;;;;
Transfer Learning for Alzheimer's Disease Detection on MRI Images;n924;2019;;;;;;;
MULTISCALE DEEP CONVOLUTIONAL NETWORKS FOR CHARACTERIZATION AND DETECTION OF ALZHEIMER'S DISEASE USING MR IMAGES;n932;2019;;;;;;;
GRAPH CONVOLUTIONAL NEURAL NETWORKS FOR ALZHEIMER'S DISEASE CLASSIFICATION;n968;2019;;;;;;;
Classification of Alzheimer's Disease from MRI Data Using an Ensemble of Hybrid Deep Convolutional Neural Networks;n1012;2019;;;;;;;
Alzheimer's disease diagnosis from structural MRI using Siamese convolutional neural network;n1018;2019;;;;;;;
Early Diagnosis of Alzheimer's Disease Using Deep Learning;n1214;2019;;;;;;;
A Deep Learning Model to Predict a Diagnosis of Alzheimer Disease by Using F-18-FDG PET of the Brain;n1290;2019;;;;;;;
Neuroimaging modality fusion in Alzheimer's classification using convolutional neural networks;n1374;2019;;;;;;;
Using Deep CNN with Data Permutation Scheme for Classification of Alzheimer's Disease in Structural Magnetic Resonance Imaging (sMRI);n1389;2019;;;;;;;
A deep learning based CNN approach on MRI for Alzheimer's disease detection;n1423;2019;;;;;;;
Prediction and Classification of Alzheimer's Disease Based on Combined Features From Apolipoprotein-E Genotype, Cerebrospinal Fluid, MR, and FDG-PET Imaging Biomarkers;n1459;2019;;;;;;;
Diagnosis of Alzheimer's Disease via Multi-Modality 3D Convolutional Neural Network;n1475;2019;;;;;;;
A Deep Learning approach for Diagnosis of Mild Cognitive Impairment Based on MRI Images;n1514;2019;;;;;;;
[Early prognosis of Alzheimer's disease based on convolutional neural networks and ensemble learning];n1560;2019;;;;;;;
Ensemble of 3D Densely Connected Convolutional Network for Diagnosis of Mild Cognitive Impairment and AlzheimerÍs Disease;n267;2020;;;;;;;
Convolutional Neural Network-Based Diagnosis of AlzheimerÍs Disease Using Time_Frequency Features;n270;2020;;;;;;;
Multi-class diagnosis of Alzheimer's disease using cascaded three dimensional-convolutional neural network;n510;2020;;;;;;;
Deep learning based mild cognitive impairment diagnosis using structure MR images;n661;2020;;;;;;;
Identification of Alzheimer's disease using a convolutional neural network model based on T1-weighted magnetic resonance imaging;n755;2020;;;;;;;
Ensemble of deep convolutional neural networks based multi-modality images for Alzheimer's disease diagnosis;n762;2020;;;;;;;
A Multi-Modal Deep Learning Approach to the Early Prediction of Mild Cognitive Impairment Conversion to AlzheimeräÛªs Disease;n854;2020;;;;;;;
3D Convolutional Neural Networks for Diagnosis of Alzheimer's Disease via Structural MRI;n870;2020;;;;;;;
An Efficient Deep Learning Model for Predicting Alzheimer's Disease Diagnosis by Using Pet;n920;2020;;;;;;;
Deep Learning Based Binary Classification for AlzheimeräÛªs Disease Detection using Brain MRI Images;n926;2020;;;;;;;
3D Residual Dense Convolutional Network for Diagnosis of AlzheimeräÛªs Disease and Mild Cognitive Impairment;n933;2020;;;;;;;
Explainable Deep CNNs for MRI-Based Diagnosis of AlzheimeräÛªs Disease;n947;2020;;;;;;;
Deep Convolutional Neural Network based Classification of Alzheimer's Disease using MRI Data;n955;2020;;;;;;;
A Novel End-to-End Hybrid Network for Alzheimer's Disease Detection Using 3D CNN and 3D CLSTM;n974;2020;;;;;;;
Multiclass classification of initial stages of Alzheimer's Disease through Neuroimaging modalities and Convolutional Neural Networks;n981;2020;;;;;;;
Introducing Transfer Learning to 3D ResNet-18 for AlzheimeräÛªs Disease Detection on MRI Images;n982;2020;;;;;;;
Combining of Multiple Deep Networks via Ensemble Generalization Loss, Based on MRI Images, for Alzheimer's Disease Classification;n1005;2020;;;;;;;
Alzheimer's Disease Classification Using Structural MRI Based on Convolutional Neural Networks;n1279;2020;;;;;;;
Adaptive Weights Integrated Convolutional Neural Network for Alzheimer's Disease Diagnosis;n1305;2020;;;;;;;
Alzheimer's disease diagnosis from diffusion tensor images using convolutional neural networks;n1377;2020;;;;;;;
Convolutional Neural Network-based MR Image Analysis for Alzheimer's Disease Classification;n1400;2020;;;;;;;
Alzheimer's Disease Detection Through Whole-Brain 3D-CNN MRI;n1442;2020;;;;;;;
Identifying Early Mild Cognitive Impairment by Multi-Modality MRI-Based Deep Learning;n1457;2020;;;;;;;
Comparison of Transfer Learning and Conventional Machine Learning Applied to Structural Brain MRI for the Early Diagnosis and Prognosis of Alzheimer's Disease;n1462;2020;;;;;;;
Early Detection of Alzheimer's Disease Using Magnetic Resonance Imaging: A Novel Approach Combining Convolutional Neural Networks and Ensemble Learning;n1483;2020;;;;;;;
A Deep Siamese Convolution Neural Network for Multi-Class Classification of Alzheimer Disease;n1510;2020;;;;;;;
A Parallel Deep Convolutional Neural Network for Alzheimer's disease classification on PET/CT brain images;n1545;2020;;;;;;;
Applying deep learning models to structural MRI for stage prediction of Alzheimer's disease;n1547;2020;;;;;;;
Convolutional Neural Network Based Prediction of Conversion from Mild Cognitive Impairment to Alzheimer's Disease: A Technique using Hippocampus Extracted from MRI;n1554;2020;;;;;;;
Diagnosis of Alzheimer's Disease from Brain Magnetic Resonance Imaging Images using Deep Learning Algorithms;n1555;2020;;;;;;;
Diagnosis Method of AlzheimerÍs Disease in PET Image Based on CNN Multi-mode Network;n223;2021;;;;;;;
Classification of AlzheimerÍs Disease Using Deep Convolutional Spiking Neural Network;n409;2021;;;;;;;
Alzheimer's disease detection using depthwise separable convolutional neural networks;n562;2021;;;;;;;
A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images;n629;2021;;;;;;;
A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer ? s disease classification;n644;2021;;;;;;;
Transfer learning for predicting conversion from mild cognitive impairment to dementia of Alzheimer's type based on a three-dimensional convolutional neural network;n674;2021;;;;;;;
A Transfer Learning Approach for Early Diagnosis of Alzheimer?s Disease on MRI Images;n700;2021;;;;;;;
Diagnosis of Alzheimer Disease Using 2D MRI Slices by Convolutional Neural Network;n1298;2021;;;;;;;
Deep Learning-Based Classification and Voxel-Based Visualization of Frontotemporal Dementia and Alzheimer's Disease;n1487;2021;;;;;;;
A Low-Cost Three-Dimensional DenseNet Neural Network for Alzheimer's Disease Early Discovery;n1540;2021;;;;;;;
Deep learning based Alzheimer's disease early diagnosis using T2w segmented gray matter MRI;n106;;;;;;;;
A CNN based framework for classification of Alzheimer's disease;n348;;;;;;;;
Alzheimer's diagnosis using deep learning in segmenting and classifying 3D brain MR images;n767;;;;;;;;
